id,title,authors,subjects,bookshelves,languages,download_count,media_type,copyright
28861,"Dave Porter in the Far North; Or, The Pluck of an American Schoolboy","Stratemeyer, Edward",Boarding schools -- Juvenile fiction; Boys -- Juvenile fiction; Norway -- Juvenile fiction; Ocean travel -- Juvenile fiction; Schools -- Juvenile fiction,Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
30893,The Little Book of the Flag,"Tappan, Eva March",Flags -- United States,Category: History - American,en,226,Text,False
31244,A Dear Little Girl,"Blanchard, Amy Ella",Girls -- Juvenile fiction,Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
31396,"Jack Winters' Baseball Team; Or, The Rivals of the Diamond","Overton, Mark",Baseball -- Juvenile fiction,Category: American Literature; Category: Children & Young Adult Reading; Category: Novels; Category: Sports/Hobbies,en,226,Text,False
33666,A Captured Santa Claus,"Page, Thomas Nelson",Christmas stories,Category: American Literature; Category: Children & Young Adult Reading; Category: Historical Novels; Christmas,en,226,Text,False
39131,The Book of the Little Past,"Peabody, Josephine Preston",Poetry,Category: Children & Young Adult Reading; Category: Poetry,en,226,Text,False
43120,Dumps - A Plain Girl,"Meade, L. T.",Families -- Juvenile fiction; Girls -- Juvenile fiction; Motherless families -- Juvenile fiction; Stepmothers -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
45182,"The Boy Aviators in Record Flight; Or, The Rival Aeroplane","Goldfrap, John Henry",Adventure stories; Aeronautics -- Juvenile fiction,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
48435,"The American Missionary — Volume 41, No. 03, March, 1887",Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,Category: History - American; Category: Religion/Spirituality; Category: Reports & Conference Proceedings; Category: Teaching & Education; The American Missionary,en,226,Text,False
49617,The Good Crow's Happy Shop,"Beard, Patten",Amusements,Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
49886,"Harper's Young People, November 8, 1881: An Illustrated Weekly",Various,"Children's periodicals, American",Category: Adventure; Category: Children & Young Adult Reading,en,226,Text,False
50862,Dolly and Molly and the Farmer Man,"Gordon, Elizabeth",Farmers -- Juvenile fiction; Hay -- Harvesting -- Juvenile fiction; Twins -- Juvenile fiction,Category: Children & Young Adult Reading,en,226,Text,False
53515,The Mystery Boys and Captain Kidd's Message,"Powell, Van",Detective and mystery stories; Mystery fiction; Pirates -- Juvenile fiction,Category: Adventure; Category: Children & Young Adult Reading,en,226,Text,False
56150,"The American Missionary — Volume 35, No. 11, November, 1881",Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,Category: History - American; Category: Religion/Spirituality; Category: Reports & Conference Proceedings; Category: Teaching & Education; The American Missionary,en,226,Text,False
60207,"Pretty Verses for All Good Children: In Words of One, Two, and Three Syllables","Cobb, Lyman",Children's poetry; Readers (Elementary),Category: Children & Young Adult Reading; Category: Poetry,en,226,Text,False
60629,Sketches of the War: A Series of Letters to the North Moore Street School of New York,"Nott, Charles C.","United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army. Iowa Cavalry Regiment, 5th (1861-1865)",Category: Biographies; Category: History - American; Category: History - Warfare,en,226,Text,False
61556,Guide Book to Williamsburg Old and New,"Ewing, William Clinton",Williamsburg (Va.) -- Guidebooks,Category: Architecture; Category: History - American; Category: Travel Writing,en,226,Text,False
62568,Stories from Switzerland,"Malan, César",Children's stories; Christian life -- Juvenile fiction; Switzerland -- Juvenile fiction,Category: Children & Young Adult Reading,en,226,Text,False
64395,"Tacoma: Electric City of the Pacific Coast, 1904","Pratt, Louis W.",Tacoma (Wash.) -- Description and travel,Category: History - American; Category: History - Modern (1750+); Category: History - Other,en,226,Text,False
64819,"Service by the Educated Negro: Address of Roscoe Conkling Bruce of Tuskegee Institute at the Commencement Exercises of the M Street High School Metropolitan A. M. E. Church Washington, D.C., June 16, 1903","Bruce, Roscoe Conkling",African Americans; African Americans -- Education,"Category: Essays, Letters & Speeches; Category: History - American; Category: Sociology; Category: Teaching & Education",en,226,Text,False
66487,"The year of jubilee; but not to Africans: a discourse, delivered July 4th, 1825, being the 49th anniversary of American independence","Prime, Nathaniel S. (Nathaniel Scudder)",Fourth of July orations; Slavery -- United States,Category: History - American; Category: History - Modern (1750+); Category: History - Religious; Category: Philosophy & Ethics,en,226,Text,False
66779,The Strange Likeness,"Grove, Harriet Pyne",Boarding school students -- Juvenile fiction; Chicago (Ill.) -- Social life and customs -- Juvenile fiction; Mistaken identity -- Juvenile fiction; Mystery and detective stories; Twins -- Juvenile fiction; Vacations -- West (U.S.) -- Juvenile fiction,Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
67989,The Rambler Club Afloat,"Sheppard, W. Crispin (William Crispin)",Adventure stories; Boats and boating -- Juvenile fiction; Boys -- Societies and clubs -- Juvenile fiction; Mystery fiction,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
68070,"Address of President Roosevelt at Canton, Ohio, September 30, 1907","Roosevelt, Theodore","McKinley, William, 1843-1901; Speeches, addresses, etc.","Category: Essays, Letters & Speeches; Category: History - American; Category: Politics",en,226,Text,False
68813,"Josiah in New York; or, A coupon from the Fresh Air Fund","Otis, James",Boys -- Juvenile fiction; Fresh Air Fund -- Juvenile fiction,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
